Churn,Genero,Tercera_Edad,Con_Pareja,Tiene_Dependientes,Meses_Contrato,Tiene_Servicio_Telefonico,Servicio_Internet,Tiene_Soporte_Tecnico,Tiene_Streaming_TV,Duración_Contrato,Forma de pago,Cargos_Mensuales,Total_Facturado,Cargos_Diarios
0,Female,0,0,1,43,1,No,False,0,Two year,Electronic check,25.1,1070.15,0.8366666666666667
0,Female,0,1,0,55,1,Fiber optic,0,1,Month-to-month,Bank transfer (automatic),89.8,4959.6,2.993333333333333
0,Female,0,1,0,59,1,Fiber optic,0,1,Month-to-month,Electronic check,94.75,5597.65,3.158333333333333
0,Female,0,1,1,12,1,No,False,0,Two year,Bank transfer (automatic),20.3,224.5,0.6766666666666666
0,Male,0,1,1,27,1,Fiber optic,0,0,Month-to-month,Bank transfer (automatic),75.75,1929.0,2.525
1,Male,1,0,0,2,1,DSL,0,0,Month-to-month,Electronic check,49.25,91.1,1.6416666666666666
0,Female,0,0,0,27,1,DSL,1,1,One year,Mailed check,78.2,2078.95,2.606666666666667
0,Male,0,1,1,25,1,No,False,0,Two year,Credit card (automatic),25.5,630.6,0.85
0,Male,0,1,1,25,1,DSL,0,0,One year,Bank transfer (automatic),61.6,1611.0,2.0533333333333332
0,Male,0,0,1,29,0,DSL,1,0,Month-to-month,Mailed check,45.0,1242.45,1.5
0,Male,0,1,0,72,1,DSL,1,1,Two year,Bank transfer (automatic),85.15,6316.2,2.8383333333333334
0,Female,0,0,0,14,1,DSL,0,0,One year,Credit card (automatic),51.45,727.85,1.715
0,Female,0,0,0,35,1,Fiber optic,1,1,One year,Electronic check,99.25,3532.0,3.308333333333333
0,Male,0,0,0,1,1,DSL,0,0,Month-to-month,Mailed check,44.3,44.3,1.4766666666666666
0,Male,0,0,0,29,1,Fiber optic,1,1,Month-to-month,Electronic check,94.2,2607.6,3.14
0,Male,0,0,0,64,1,DSL,1,1,One year,Electronic check,81.25,5567.55,2.7083333333333335
0,Female,0,1,1,39,1,Fiber optic,1,1,Month-to-month,Credit card (automatic),99.95,3767.4,3.3316666666666666
0,Female,1,0,0,40,1,Fiber optic,0,1,Month-to-month,Electronic check,91.55,3673.6,3.0516666666666667
1,Male,0,0,0,40,1,Fiber optic,0,1,Month-to-month,Credit card (automatic),104.5,4036.85,3.4833333333333334
1,Female,1,0,0,11,1,Fiber optic,0,1,Month-to-month,Electronic check,95.0,1120.3,3.1666666666666665
0,Female,0,1,0,6,1,DSL,0,0,Month-to-month,Electronic check,50.35,314.55,1.6783333333333335
0,Male,0,0,0,30,1,DSL,0,0,Month-to-month,Mailed check,64.5,1888.45,2.15
0,Male,0,0,0,27,1,No,False,0,Month-to-month,Electronic check,19.4,529.8,0.6466666666666666
0,Male,1,1,0,70,1,Fiber optic,0,1,One year,Electronic check,104.8,7308.95,3.493333333333333
0,Female,0,1,0,57,1,Fiber optic,1,1,One year,Bank transfer (automatic),109.4,6252.7,3.646666666666667
0,Male,0,1,0,58,1,DSL,0,0,One year,Credit card (automatic),50.3,2878.55,1.6766666666666665
0,Male,0,0,0,16,1,DSL,0,0,Month-to-month,Bank transfer (automatic),71.4,1212.1,2.3800000000000003
0,Female,0,1,0,69,1,Fiber optic,1,1,Two year,Electronic check,116.0,8182.85,3.8666666666666667
1,Male,0,0,0,1,1,No,False,0,Month-to-month,Electronic check,19.85,19.85,0.6616666666666667
1,Male,0,0,1,1,1,Fiber optic,0,1,Month-to-month,Electronic check,99.75,99.75,3.325
0,Male,1,1,1,32,1,Fiber optic,0,1,Month-to-month,Mailed check,93.95,2861.45,3.131666666666667
0,Male,0,1,1,16,1,Fiber optic,0,1,Month-to-month,Bank transfer (automatic),90.8,1442.2,3.0266666666666664
1,Male,0,1,0,49,1,DSL,1,1,One year,Electronic check,84.35,4059.35,2.8116666666666665
0,Female,0,1,0,71,0,DSL,1,1,Two year,Bank transfer (automatic),58.25,4145.9,1.9416666666666667
0,Female,0,0,0,33,1,Fiber optic,0,1,Month-to-month,Electronic check,107.55,3645.5,3.585
0,Female,0,1,0,10,1,No,False,0,Month-to-month,Bank transfer (automatic),19.95,187.75,0.6649999999999999
1,Male,0,1,0,21,1,Fiber optic,1,1,Month-to-month,Electronic check,111.2,2317.1,3.7066666666666666
1,Male,0,1,1,37,0,DSL,0,0,Month-to-month,Bank transfer (automatic),40.2,1448.8,1.34
0,Female,1,0,0,26,1,Fiber optic,0,1,Month-to-month,Credit card (automatic),85.8,2193.65,2.86
0,Male,0,0,0,71,1,No,False,0,Two year,Credit card (automatic),19.9,1355.1,0.6633333333333333
0,Male,0,0,0,50,0,DSL,1,0,One year,Mailed check,35.4,1748.9,1.18
1,Female,0,0,0,7,1,Fiber optic,0,0,Month-to-month,Electronic check,73.85,511.25,2.4616666666666664
0,Female,0,1,1,61,1,DSL,1,1,Two year,Mailed check,88.1,5526.75,2.9366666666666665
1,Male,0,0,0,15,1,Fiber optic,1,1,Month-to-month,Electronic check,101.35,1553.95,3.378333333333333
0,Female,0,0,1,26,0,DSL,1,0,Month-to-month,Mailed check,45.8,1147.0,1.5266666666666666
0,Male,0,1,0,72,1,Fiber optic,0,1,Month-to-month,Electronic check,94.65,6747.35,3.1550000000000002
0,Male,0,1,1,44,1,No,False,0,One year,Bank transfer (automatic),20.5,865.05,0.6833333333333333
0,Male,0,0,0,66,1,Fiber optic,0,0,Month-to-month,Credit card (automatic),89.4,5976.9,2.98
1,Female,0,0,0,2,1,Fiber optic,1,0,Month-to-month,Electronic check,86.25,181.65,2.875
0,Female,1,0,0,44,1,DSL,1,1,One year,Bank transfer (automatic),74.85,3268.05,2.4949999999999997
1,Female,0,0,0,12,1,Fiber optic,0,1,Month-to-month,Bank transfer (automatic),89.75,1052.4,2.9916666666666667
0,Male,1,1,0,69,1,Fiber optic,1,1,Two year,Electronic check,109.95,7634.25,3.665
1,Female,0,0,0,1,1,Fiber optic,0,0,Month-to-month,Mailed check,80.2,80.2,2.6733333333333333
1,Female,0,0,0,3,1,No,False,0,Month-to-month,Mailed check,19.85,63.75,0.6616666666666667
0,Female,0,1,0,2,1,Fiber optic,0,1,Month-to-month,Electronic check,90.35,190.5,3.0116666666666663
0,Female,1,0,0,27,1,Fiber optic,0,0,Month-to-month,Bank transfer (automatic),86.45,2401.05,2.881666666666667
0,Male,0,0,0,26,1,No,False,0,Month-to-month,Electronic check,20.3,511.25,0.6766666666666666
0,Female,1,1,0,39,1,Fiber optic,1,1,Month-to-month,Electronic check,101.25,3949.15,3.375
1,Male,0,0,0,25,1,Fiber optic,0,1,Month-to-month,Bank transfer (automatic),94.7,2362.1,3.1566666666666667
1,Female,0,0,0,1,1,Fiber optic,0,0,Month-to-month,Mailed check,70.9,70.9,2.3633333333333337
0,Male,0,0,0,29,1,DSL,1,0,One year,Electronic check,58.75,1696.2,1.9583333333333333
1,Male,0,1,0,22,1,DSL,1,0,Month-to-month,Electronic check,54.2,1152.7,1.8066666666666669
0,Female,1,0,0,5,1,DSL,1,0,Month-to-month,Credit card (automatic),59.9,287.85,1.9966666666666666
0,Female,0,0,0,72,1,Fiber optic,1,1,Two year,Electronic check,114.9,8496.7,3.83
0,Female,0,0,0,24,1,No,False,0,Two year,Bank transfer (automatic),19.55,470.2,0.6516666666666667
0,Female,0,1,0,19,1,Fiber optic,0,1,Month-to-month,Electronic check,86.85,1564.4,2.895
0,Male,0,1,1,71,1,No,False,0,Two year,Credit card (automatic),25.35,1847.55,0.8450000000000001
0,Male,1,1,0,33,1,Fiber optic,1,1,Month-to-month,Bank transfer (automatic),109.9,3694.7,3.6633333333333336
0,Female,0,0,0,3,1,No,False,0,Month-to-month,Mailed check,19.95,58.0,0.6649999999999999
0,Male,0,1,1,47,1,Fiber optic,0,1,Month-to-month,Electronic check,87.2,4017.45,2.9066666666666667
0,Male,0,1,1,62,1,Fiber optic,1,1,Two year,Mailed check,108.15,6825.65,3.605
0,Male,0,0,0,71,1,Fiber optic,1,1,One year,Bank transfer (automatic),116.3,8309.55,3.8766666666666665
0,Male,1,1,0,7,1,Fiber optic,0,1,Month-to-month,Electronic check,89.0,605.45,2.966666666666667
0,Female,0,1,1,27,1,Fiber optic,0,0,Month-to-month,Mailed check,74.4,1972.35,2.48
0,Male,0,0,0,2,1,No,False,0,Month-to-month,Mailed check,20.05,33.7,0.6683333333333333
0,Female,0,0,1,25,0,DSL,1,0,Two year,Bank transfer (automatic),35.05,844.45,1.1683333333333332
0,Male,1,0,0,30,1,DSL,0,1,Month-to-month,Electronic check,74.75,2111.3,2.4916666666666667
1,Female,1,1,0,58,1,Fiber optic,1,1,One year,Credit card (automatic),105.5,6205.5,3.5166666666666666
1,Male,0,1,0,10,1,Fiber optic,0,0,Month-to-month,Electronic check,85.25,855.3,2.841666666666667
0,Female,0,0,0,9,1,Fiber optic,0,0,Month-to-month,Credit card (automatic),75.2,633.85,2.506666666666667
1,Female,1,1,0,6,1,Fiber optic,0,0,Month-to-month,Electronic check,84.35,474.9,2.8116666666666665
0,Female,0,1,1,69,1,Fiber optic,0,0,One year,Bank transfer (automatic),84.45,5848.6,2.815
0,Female,1,0,0,66,1,Fiber optic,0,1,Two year,Bank transfer (automatic),102.4,6471.85,3.4133333333333336
1,Female,0,0,0,70,1,Fiber optic,1,1,One year,Credit card (automatic),115.55,8127.6,3.8516666666666666
1,Male,0,0,0,25,1,No,False,0,One year,Bank transfer (automatic),25.3,676.35,0.8433333333333334
0,Female,0,1,1,46,1,No,False,0,Two year,Mailed check,19.25,864.2,0.6416666666666667
0,Female,0,1,0,54,1,Fiber optic,1,1,One year,Mailed check,114.65,6049.5,3.8216666666666668
1,Female,0,0,0,15,1,Fiber optic,1,1,Month-to-month,Electronic check,105.1,1582.75,3.503333333333333
0,Female,0,1,1,12,1,No,False,0,Month-to-month,Bank transfer (automatic),19.4,198.1,0.6466666666666666
0,Female,0,0,0,22,0,DSL,0,1,Month-to-month,Electronic check,50.35,1098.85,1.6783333333333335
0,Female,0,1,0,70,0,DSL,1,1,Two year,Bank transfer (automatic),57.8,4039.3,1.9266666666666665
0,Male,0,0,0,30,1,Fiber optic,0,0,Month-to-month,Credit card (automatic),84.3,2438.6,2.81
0,Male,0,1,1,71,1,Fiber optic,0,1,One year,Bank transfer (automatic),100.55,7113.75,3.3516666666666666
0,Male,0,1,0,30,1,No,False,0,One year,Credit card (automatic),19.8,576.65,0.66
1,Male,0,1,1,4,1,Fiber optic,0,0,Month-to-month,Bank transfer (automatic),84.8,371.9,2.8266666666666667
1,Male,0,0,0,2,1,Fiber optic,0,0,Month-to-month,Electronic check,85.85,167.3,2.8616666666666664
0,Male,0,0,1,10,1,No,False,0,One year,Bank transfer (automatic),19.95,219.5,0.6649999999999999
0,Male,1,0,0,4,1,Fiber optic,0,0,Month-to-month,Electronic check,75.35,273.4,2.5116666666666663
0,Male,1,0,0,52,0,DSL,0,1,Month-to-month,Credit card (automatic),48.8,2555.05,1.6266666666666665
1,Male,0,0,0,5,1,DSL,0,0,Month-to-month,Electronic check,47.15,223.15,1.5716666666666665
0,Male,0,1,1,8,1,No,False,0,Two year,Mailed check,20.15,165.5,0.6716666666666666
0,Female,1,0,0,2,1,DSL,0,0,Month-to-month,Electronic check,44.3,89.3,1.4766666666666666
0,Male,0,0,0,3,1,Fiber optic,0,0,Month-to-month,Electronic check,84.3,235.05,2.81
0,Male,0,0,0,19,1,DSL,1,0,Month-to-month,Electronic check,59.55,1144.6,1.9849999999999999
0,Male,0,0,0,72,1,DSL,1,0,Two year,Bank transfer (automatic),69.65,4908.25,2.3216666666666668
0,Male,1,1,0,63,0,DSL,1,0,One year,Bank transfer (automatic),36.1,2298.9,1.2033333333333334
0,Male,0,1,0,66,0,DSL,1,1,Two year,Bank transfer (automatic),56.6,3789.2,1.8866666666666667
1,Male,0,0,0,1,1,Fiber optic,1,0,Month-to-month,Electronic check,75.9,75.9,2.5300000000000002
0,Female,0,0,0,60,1,Fiber optic,0,0,One year,Bank transfer (automatic),79.2,4765.0,2.64
0,Female,0,1,1,48,0,DSL,0,0,One year,Credit card (automatic),45.0,2196.3,1.5
1,Female,0,0,0,1,1,Fiber optic,0,1,Month-to-month,Credit card (automatic),85.55,85.55,2.8516666666666666
1,Male,0,0,0,15,1,Fiber optic,0,1,Month-to-month,Electronic check,93.35,1444.65,3.1116666666666664
0,Female,0,1,0,50,1,Fiber optic,1,1,Month-to-month,Bank transfer (automatic),109.65,5405.8,3.6550000000000002
0,Male,0,1,1,72,1,DSL,1,1,Two year,Credit card (automatic),89.7,6339.3,2.99
0,Female,0,0,0,46,1,Fiber optic,0,0,Month-to-month,Mailed check,84.25,3847.6,2.808333333333333
0,Female,0,1,1,72,1,DSL,1,1,Two year,Bank transfer (automatic),92.65,6733.0,3.0883333333333334
0,Male,0,1,1,1,1,No,False,0,Month-to-month,Mailed check,19.7,19.7,0.6566666666666666
0,Female,0,0,0,1,1,DSL,0,0,Month-to-month,Electronic check,50.1,50.1,1.6700000000000002
0,Female,1,0,0,67,1,Fiber optic,1,1,Two year,Bank transfer (automatic),92.45,6140.85,3.0816666666666666
0,Female,0,1,1,48,1,DSL,1,1,Two year,Electronic check,79.65,3870.3,2.6550000000000002
0,Female,0,0,0,72,1,Fiber optic,1,1,Two year,Electronic check,109.9,7624.2,3.6633333333333336
0,Male,0,1,0,52,1,DSL,1,0,One year,Credit card (automatic),81.4,4354.45,2.7133333333333334
0,Female,0,1,1,67,1,DSL,0,0,One year,Credit card (automatic),50.55,3431.75,1.6849999999999998
1,Female,0,1,1,28,1,Fiber optic,0,0,Month-to-month,Electronic check,81.05,2227.1,2.7016666666666667
0,Female,0,1,1,32,1,DSL,0,0,Month-to-month,Bank transfer (automatic),62.45,2045.55,2.0816666666666666
1,Female,1,1,0,27,1,Fiber optic,0,0,Month-to-month,Bank transfer (automatic),75.2,1929.35,2.506666666666667
0,Male,0,0,0,3,1,Fiber optic,0,0,Month-to-month,Electronic check,90.4,268.45,3.0133333333333336
1,Male,0,0,0,2,1,Fiber optic,0,1,Month-to-month,Electronic check,85.65,181.5,2.855
1,Female,0,0,1,9,1,DSL,1,1,Month-to-month,Mailed check,72.9,651.4,2.43
0,Male,0,1,1,50,1,DSL,1,1,Two year,Credit card (automatic),70.5,3486.65,2.35
0,Female,0,1,1,71,1,No,False,0,Two year,Bank transfer (automatic),20.1,1389.6,0.67
1,Male,1,1,0,32,1,Fiber optic,0,0,Month-to-month,Electronic check,74.9,2303.35,2.496666666666667
0,Female,0,1,1,16,1,Fiber optic,0,1,Month-to-month,Bank transfer (automatic),100.7,1522.7,3.356666666666667
0,Female,0,1,1,67,1,Fiber optic,1,1,Two year,Bank transfer (automatic),105.65,6717.9,3.521666666666667
0,Male,0,1,1,72,1,Fiber optic,1,1,Two year,Credit card (automatic),114.3,8058.55,3.81
1,Female,0,0,0,3,1,No,False,0,Month-to-month,Electronic check,19.75,58.85,0.6583333333333333
0,Male,0,1,1,23,1,No,False,0,One year,Mailed check,24.35,538.5,0.8116666666666668
0,Male,0,1,1,72,1,DSL,1,0,Two year,Bank transfer (automatic),69.85,5102.35,2.328333333333333
0,Male,0,1,1,7,0,DSL,0,1,Month-to-month,Mailed check,58.85,465.7,1.9616666666666667
0,Male,1,1,0,65,1,Fiber optic,0,1,One year,Bank transfer (automatic),103.15,6792.45,3.4383333333333335
0,Male,0,1,1,8,1,DSL,0,1,Month-to-month,Electronic check,54.4,475.1,1.8133333333333332
0,Male,0,1,1,66,0,DSL,1,1,Two year,Bank transfer (automatic),50.55,3364.55,1.6849999999999998
1,Male,0,0,0,5,1,No,False,0,Month-to-month,Mailed check,21.05,113.85,0.7016666666666667
1,Male,0,0,0,49,1,Fiber optic,0,1,Month-to-month,Bank transfer (automatic),103.7,5036.3,3.4566666666666666
0,Male,0,1,0,63,1,No,False,0,Two year,Bank transfer (automatic),19.95,1234.8,0.6649999999999999
0,Female,1,1,1,12,0,DSL,1,0,Month-to-month,Mailed check,29.3,355.9,0.9766666666666667
0,Male,0,1,1,27,1,DSL,0,0,Month-to-month,Credit card (automatic),54.75,1510.3,1.825
0,Female,0,0,0,35,1,DSL,0,0,Month-to-month,Electronic check,60.55,1982.6,2.018333333333333
0,Female,0,1,1,54,1,DSL,1,1,Month-to-month,Electronic check,86.2,4524.05,2.8733333333333335
1,Male,0,0,0,1,1,Fiber optic,0,1,Month-to-month,Electronic check,95.45,95.45,3.1816666666666666
0,Male,0,0,0,5,1,DSL,1,1,Month-to-month,Credit card (automatic),63.95,318.1,2.131666666666667
0,Male,0,0,0,19,1,DSL,1,0,One year,Bank transfer (automatic),65.35,1231.85,2.1783333333333332
0,Male,0,1,1,52,0,DSL,1,1,Two year,Mailed check,50.2,2554.0,1.6733333333333333
0,Female,0,1,1,72,0,DSL,1,1,Two year,Bank transfer (automatic),63.8,4684.3,2.1266666666666665
0,Male,0,0,0,32,1,No,False,0,Two year,Bank transfer (automatic),20.05,614.45,0.6683333333333333
1,Female,0,1,0,8,1,Fiber optic,0,1,Month-to-month,Electronic check,101.15,842.9,3.371666666666667
0,Male,0,0,0,41,1,DSL,0,0,One year,Mailed check,65.0,2531.8,2.1666666666666665
0,Male,0,0,0,5,1,No,False,0,Month-to-month,Mailed check,19.25,86.05,0.6416666666666667
0,Female,0,0,1,11,0,DSL,1,0,One year,Mailed check,36.05,402.6,1.2016666666666667
1,Male,0,0,0,5,1,Fiber optic,1,1,Month-to-month,Electronic check,96.1,453.4,3.203333333333333
0,Female,0,0,0,16,1,No,False,0,One year,Mailed check,19.05,326.65,635
0,Male,1,0,0,71,1,Fiber optic,1,1,One year,Bank transfer (automatic),105.75,7382.85,3.525
0,Female,0,0,0,11,0,DSL,1,0,One year,Credit card (automatic),40.4,422.6,1.3466666666666667
1,Female,0,1,1,61,1,Fiber optic,0,1,Month-to-month,Electronic check,99.15,6010.05,3.305
0,Female,0,1,0,71,1,DSL,1,1,One year,Bank transfer (automatic),84.8,6046.1,2.8266666666666667
0,Male,0,0,0,9,1,No,False,0,Month-to-month,Mailed check,19.85,178.8,0.6616666666666667
0,Female,0,0,0,6,1,DSL,0,0,Month-to-month,Electronic check,49.45,314.6,1.6483333333333334
1,Female,0,0,0,26,1,Fiber optic,0,1,Month-to-month,Bank transfer (automatic),88.8,2274.35,2.96
0,Female,0,0,0,6,1,DSL,0,0,Month-to-month,Mailed check,55.15,322.9,1.8383333333333334
0,Male,0,0,0,11,1,Fiber optic,0,0,Month-to-month,Electronic check,84.8,888.75,2.8266666666666667
1,Male,0,1,0,1,1,Fiber optic,0,1,Month-to-month,Electronic check,80.55,80.55,2.685
0,Female,0,1,0,49,1,No,False,0,Two year,Bank transfer (automatic),20.15,973.35,0.6716666666666666
0,Female,0,1,1,3,1,DSL,0,1,Month-to-month,Credit card (automatic),58.7,168.6,1.9566666666666668
0,Female,0,0,0,53,1,Fiber optic,1,0,Two year,Mailed check,99.5,5424.25,3.316666666666667
1,Male,0,1,1,23,1,Fiber optic,1,1,Month-to-month,Electronic check,99.85,2331.3,3.328333333333333
1,Male,0,0,0,2,1,DSL,0,0,Month-to-month,Electronic check,45.35,89.5,1.5116666666666667
1,Male,0,0,0,1,1,DSL,0,0,Month-to-month,Mailed check,48.55,48.55,1.6183333333333332
0,Male,0,0,1,3,1,No,False,0,Two year,Mailed check,26.4,121.25,0.88
1,Female,1,1,0,68,1,Fiber optic,0,1,Month-to-month,Electronic check,100.2,6851.65,3.3400000000000003
1,Male,0,0,0,8,1,Fiber optic,0,1,Month-to-month,Electronic check,94.7,740.3,3.1566666666666667
0,Female,0,1,0,70,1,Fiber optic,0,1,One year,Electronic check,97.65,6982.5,3.2550000000000003
0,Male,0,1,1,39,1,Fiber optic,0,1,One year,Electronic check,100.0,3835.55,3.3333333333333335
1,Female,0,0,0,1,1,Fiber optic,0,0,Month-to-month,Electronic check,70.1,70.1,2.3366666666666664
0,Female,0,1,1,51,0,DSL,1,0,Two year,Bank transfer (automatic),34.2,1782.0,1.1400000000000001
1,Female,0,0,0,3,1,Fiber optic,1,1,Month-to-month,Electronic check,97.9,315.3,3.2633333333333336
0,Male,0,1,0,60,1,Fiber optic,0,1,One year,Bank transfer (automatic),102.5,6157.6,3.4166666666666665
1,Female,0,1,0,5,1,Fiber optic,0,0,Month-to-month,Electronic check,69.95,330.15,2.3316666666666666
1,Male,1,0,0,3,1,Fiber optic,0,0,Month-to-month,Electronic check,81.35,233.7,2.7116666666666664
0,Female,0,1,0,55,1,DSL,1,0,One year,Credit card (automatic),66.05,3462.1,2.2016666666666667
0,Male,0,0,0,72,0,DSL,1,1,Two year,Credit card (automatic),61.2,4390.25,2.04
0,Male,1,1,0,72,1,DSL,1,1,Two year,Bank transfer (automatic),74.4,5360.75,2.48
1,Female,0,0,0,41,1,Fiber optic,0,1,Month-to-month,Electronic check,106.3,4443.45,3.5433333333333334
0,Male,0,0,0,60,0,DSL,0,0,Two year,Bank transfer (automatic),39.6,2424.5,1.32
1,Female,0,0,0,6,1,Fiber optic,0,1,Month-to-month,Electronic check,89.3,577.6,2.9766666666666666
0,Female,0,1,0,46,1,Fiber optic,1,1,Two year,Credit card (automatic),108.9,4854.3,3.6300000000000003
0,Female,0,0,0,15,1,No,False,0,Month-to-month,Mailed check,19.9,320.45,0.6633333333333333
1,Female,0,1,0,58,1,Fiber optic,1,1,Month-to-month,Credit card (automatic),102.1,5885.4,3.4033333333333333
0,Male,0,1,1,23,1,No,False,0,Two year,Credit card (automatic),19.6,426.65,0.6533333333333334
1,Female,1,1,1,31,1,Fiber optic,1,1,Month-to-month,Electronic check,98.9,2911.3,3.296666666666667
0,Male,0,1,0,11,1,DSL,0,0,Month-to-month,Bank transfer (automatic),45.9,521.9,1.53
0,Female,1,0,0,56,1,Fiber optic,1,1,Two year,Bank transfer (automatic),99.9,5706.3,3.33
0,Female,0,0,1,25,1,No,False,0,Month-to-month,Credit card (automatic),20.05,471.7,0.6683333333333333
0,Female,0,0,0,68,0,DSL,1,1,Two year,Credit card (automatic),64.35,4539.6,2.145
0,Female,0,0,0,40,1,No,False,0,Two year,Credit card (automatic),19.65,830.25,0.6549999999999999
1,Male,0,0,0,36,1,Fiber optic,0,0,Month-to-month,Electronic check,84.9,3067.2,2.83
1,Male,0,0,0,32,1,Fiber optic,1,1,Month-to-month,Credit card (automatic),108.15,3432.9,3.605
0,Male,0,1,1,71,1,DSL,1,1,Two year,Bank transfer (automatic),86.85,6263.8,2.895
0,Male,0,1,0,17,1,Fiber optic,0,1,Month-to-month,Electronic check,102.55,1742.5,3.4183333333333334
0,Male,0,1,0,18,1,Fiber optic,1,0,Month-to-month,Electronic check,78.2,1468.75,2.606666666666667
0,Female,0,0,0,37,1,Fiber optic,0,0,Month-to-month,Bank transfer (automatic),91.2,3382.3,3.04
0,Male,0,0,0,2,1,No,False,0,Month-to-month,Mailed check,19.35,46.35,645
0,Female,0,1,1,28,1,Fiber optic,0,0,One year,Bank transfer (automatic),70.4,1992.2,2.3466666666666667
0,Male,0,0,0,9,0,DSL,0,0,One year,Mailed check,39.55,373.0,1.3183333333333331
0,Female,0,0,0,1,1,DSL,0,0,Month-to-month,Electronic check,50.15,50.15,1.6716666666666666
0,Male,0,1,0,65,1,No,False,0,Two year,Credit card (automatic),20.4,1414.45,0.6799999999999999
0,Female,0,0,0,3,1,DSL,0,0,Month-to-month,Electronic check,44.6,122.7,1.4866666666666668
1,Female,0,0,0,1,0,DSL,0,1,Month-to-month,Electronic check,34.7,34.7,1.1566666666666667
0,Male,0,1,0,36,1,Fiber optic,0,1,Month-to-month,Electronic check,93.6,3366.05,3.1199999999999997
